Name,Cost,Bhk
OnCloud33,₹55.67 L - 1.04 Cr,"2, 3, 4 BHK"
ASBLSpire,₹3.25 Cr - 3.75 Cr,3 BHK
PrestigeBeverlyHills,₹79.91 L - 1.35 Cr,"3, 4 BHK"
GoldenKeysMayuraSriven,₹28.8 L - 45.0 L,"2, 3, 3.5 BHK"
MyscapeOtomo,₹20.63 L - 95.8 L,4 BHK
BrigadeCitadelPhase1,₹76.5 L - 1.8 Cr,"2, 3 BHK"
AdityaHomes,₹7.56 Cr - 8.07 Cr,"2, 3 BHK"
AkshitaHeights6,₹1.25 Cr - 1.91 Cr,"2, 3 BHK"
APRVaarahiPraveensHynora,₹31.24 L - 71.23 L,3 BHK
DevSignatureOne,nan,"3, 4 BHK"
PraneethKKRsPranavJaitra,₹13.2 L - 32.99 L,"2, 3, 3.5 BHK"
PraneethPranavGrovePark,₹1.58 Cr - 2.5 Cr,4 BHK
VaarahiSiriSampadha,₹21.34 L - 1.26 Cr,2 BHK
RayalaSaiEmpire01,₹85.31 L - 2.86 Cr,"2, 3 BHK"
VedantaTowers,₹1.57 Cr - 3.29 Cr,"2, 3 BHK"
VasaviSriNivasam,nan,"2, 3 BHK"
SriGokula,₹68.05 L - 91.12 L,"2, 3 BHK"
BrigadeCitadel,₹51.08 L - 70.65 L,"2, 3 BHK"
ThePrestigeCityHyderabadApartments,₹28.54 L - 1.21 Cr,"3, 4 BHK"
NirmalPearl,₹92.4 L - 1.32 Cr,2 BHK
JNRAavaas,₹1.15 Cr - 1.76 Cr,"2, 3 BHK"
PrimarkNorthwave,₹1.35 Cr - 2.84 Cr,"2, 2.5, 3 BHK"
NavyaUveraHeights,₹60.85 L - 85.05 L,"2, 3 BHK"
ThePrestigeCityHyderabadVillas,₹90.63 L - 1.73 Cr,5 BHK
OakshirVillas,₹20.99 L - 60.6 L,3 BHK
RajapushpaCasaLuxuria,₹11.26 Cr - 17.61 Cr,4 BHK
QuorizonNavyaSymphony,₹2.04 Cr - 2.24 Cr,3 BHK
MaruthiSamanthaMansion,₹24.75 L - 82.5 L,3 BHK
RadheyRaaga,₹22.33 L - 53.23 L,"3.5, 4, 4.5, 5.5 BHK"
CasaGrandHanford,₹5.44 Cr - 9.75 Cr,4 BHK
GowraUrbanWinds,₹5.18 Cr,"3, 4 BHK"
MKTTvinBirds,₹2.9 Cr,2 BHK
SriAmodha,nan,"2, 3 BHK"
TheVueResidences,₹57.61 L - 1.44 Cr,"3, 4 BHK"
SriAdityaLeGrandiose,nan,"3, 4 BHK"
SMRSMSVinayCasaCarino,₹85.75 L - 1.14 Cr,4 BHK
AnuharRamiReddyTowers,₹11.39 L - 24.38 L,"2, 3 BHK"
Skylark1,₹41.19 L - 46.94 L,3 BHK
SouthwindTowers,₹93.94 L - 1.28 Cr,"2, 3 BHK"
SkyHigh,₹93.94 L - 1.28 Cr,4 BHK
AbinandanaFlora,₹1.5 Cr - 4.32 Cr,3 BHK
SunshineDestino,₹3.92 Cr - 6.03 Cr,"3, 4 BHK"
WesternSprings,₹8.0 Cr - 9.5 Cr,3 BHK
AliensSpaceStation,₹99.92 L - 2.19 Cr,"2, 3, 4, 4.5, 5 BHK"
SvadhaMackennas,₹4.51 Cr - 8.52 Cr,"2, 2.5, 3 BHK"
NirmalLandmark,₹1.42 Cr - 3.01 Cr,"2, 3 BHK"
SSVKrishnaHeights,₹2.07 Cr - 3.32 Cr,"2, 3 BHK"
BrigadeCitadelPhase2,nan,"2, 3 BHK"
CasaTraimbak,₹38.0 L - 41.42 L,"2, 3 BHK"
ThimuKingCourt,₹78.68 L - 1.31 Cr,"2, 3 BHK"
TheOriginby360Life,₹53.57 L - 76.97 L,"3, 4, 5 BHK"
NslNakshatra,₹37.94 L - 91.98 L,"3, 4 BHK"
GoldenStoneResidency,₹41.25 L - 1.0 Cr,"2, 3 BHK"
PridePalmyraMeadows,₹26.39 L - 53.26 L,"2, 3 BHK"
UrbanriseTheWorldofJoy,₹36.0 L - 96.01 L,"2, 3, 4 BHK"
SSKSujaySierra,₹53.55 L - 64.95 L,"2, 3 BHK"
ShivaBhargavTempleTree,₹3.71 Cr - 8.1 Cr,2 BHK
SattvaMagnus,₹1.78 Cr - 3.08 Cr,"2, 3, 3.5, 4 BHK"
GarnithaHomes,₹27.74 L - 73.98 L,2 BHK
TheEspino,₹4.14 Cr,"2, 3 BHK"
SVNRTheBreeze,₹78.74 L - 1.04 Cr,3 BHK
MySpace2,₹90.63 L - 1.59 Cr,"2, 3 BHK"
SitaExoticaBegonia,₹73.36 L - 1.04 Cr,"2, 3 BHK"
BSCPLBollineniBion,₹41.99 L - 1.12 Cr,"3, 4 BHK"
MyHomeBhooja,nan,"3, 4 BHK"
PacificaHillcrestPhase2,₹1.28 Cr - 3.38 Cr,"2, 3, 4 BHK"
AakruthiArcadia,nan,"2, 3 BHK"
VasaviNandanam,₹61.96 L - 74.76 L,"2, 3 BHK"
BrigadeCitadelPhase3,₹1.5 Cr,"2, 3 BHK"
SunyugaVillaPalazzo,₹1.75 Cr - 4.55 Cr,4 BHK
PraneethPranavKnightwoods,₹6.1 Cr - 9.56 Cr,3 BHK
BHUVIBYVASAVIBUILDOX,₹77.13 L - 2.59 Cr,3 BHK
VasaviCrownEast,₹63.8 L - 99.83 L,"2, 3 BHK"
BrigadeCitadelPhase4,₹19.36 L - 55.44 L,3 BHK
360LifeTowerII,₹75.0 L - 1.22 Cr,"3, 4 BHK"
FortuneGreenSapphire,₹36.41 L - 1.62 Cr,2 BHK
