PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
40000,2,"in Kondapur, Hyderabad",1000,Bathrooms2,Fully
23000,1,"in Kondapur, Hyderabad",700,Bathrooms1,Fully
32000,2,"in Kondapur, Hyderabad",1225,Bathrooms2,Semi
21000,1,"in Kondapur, Hyderabad",700,Bathrooms1,Semi
45000,2,"in Kondapur, Hyderabad",1200,Bathrooms2,Fully
60000,3,"in Kondapur, Hyderabad",2000,Bathrooms3,Fully
37000,2,"in Kondapur, Hyderabad",1000,Bathrooms2,Fully
22000,1,"in Kondapur, Hyderabad",600,Bathrooms1,Fully
36000,3,"in Kondapur, Hyderabad",1500,Bathrooms3,Semi
18000,1,"in Kondapur, Hyderabad",550,Bathrooms1,Semi
20003,1,"in Kondapur, Hyderabad",550,Bathrooms1,Semi
24000,2,"in Kondapur, Hyderabad",1143,Bathrooms1,Un
16000,1,"in Kondapur, Hyderabad",550,Bathrooms1,Semi
32000,3,"in Kondapur, Hyderabad",1650,Bathrooms2,Semi
22000,1,"in Kondapur, Hyderabad",850,Bathrooms1,Fully
35000,2,"in Kondapur, Hyderabad",1450,Bathrooms2,Semi
21000,1,"in Kondapur, Hyderabad",600,Bathrooms1,Semi
24000,1,"in Kondapur, Hyderabad",600,Bathrooms1,Fully
45000,3,"in Kondapur, Hyderabad",1850,Bathrooms3,Semi
33500,2,"in Kondapur, Hyderabad",1400,Bathrooms2,Fully
24500,2,"in Kondapur, Hyderabad",1250,Bathrooms2,Semi
23000,1,"in Kondapur, Hyderabad",650,Bathrooms1,Fully
28500,1,"in Kondapur, Hyderabad",1150,Bathrooms2,Fully
28000,1,"in Madhapur, Hyderabad",804,Bathrooms1,Fully
29500,2,"in Madhapur, Hyderabad",1204,Bathrooms2,Semi
25000,1,"in Madhapur, Hyderabad",704,Bathrooms1,Fully
38000,2,"in Madhapur, Hyderabad",1288,Bathrooms1,Fully
18000,1,"in Madhapur, Hyderabad",610,Bathrooms1,Un
22000,1,"in Madhapur, Hyderabad",630,Bathrooms1,Un
27000,2,"in Madhapur, Hyderabad",1143,Bathrooms2,Un
40000,2,"in Madhapur, Hyderabad",1200,Bathrooms2,Semi
50000,3,"in Kondapur, Hyderabad",2200,Bathrooms2,Fully
